"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
0,23.633944,107.441860,0.000000,82337.278629,2.601889,2.790698
1,26.235833,104.651163,0.000000,80598.104812,2.601889,2.790698
2,26.235833,107.441860,0.000000,80598.104812,2.601889,2.790698
3,28.837722,104.651163,0.000000,78692.257004,2.601889,2.790698
4,28.837722,107.441860,0.000000,78692.257004,2.601889,2.790698
5,23.633944,110.232558,0.000000,82337.278629,2.601889,2.790698
6,23.633944,113.023256,0.000000,82337.278629,2.601889,2.790698
7,23.633944,115.813953,0.000000,82337.278629,2.601889,2.790698
8,26.235833,110.232558,0.000000,80598.104812,2.601889,2.790698
9,26.235833,113.023256,0.000000,80598.104812,2.601889,2.790698
10,26.235833,115.813953,0.000000,80598.104812,2.601889,2.790698
11,28.837722,110.232558,0.000000,78692.257004,2.601889,2.790698
12,28.837722,113.023256,0.000000,78692.257004,2.601889,2.790698
13,28.837722,115.813953,0.000000,78692.257004,2.601889,2.790698
14,26.235833,118.604651,0.000000,80598.104812,2.601889,2.790698
15,28.837722,118.604651,0.000000,78692.257004,2.601889,2.790698
16,31.439611,106.500000,0.000000,82370.796640,2.601889,3.000000
17,31.439611,109.500000,0.000000,82370.796640,2.601889,3.000000
18,31.439611,112.500000,0.000000,82370.796640,2.601889,3.000000
19,31.439611,115.500000,0.000000,82370.796640,2.601889,3.000000
20,34.041500,109.500000,0.000000,79977.768585,2.601889,3.000000
21,34.041500,112.500000,0.000000,79977.768585,2.601889,3.000000
22,34.041500,115.500000,0.000000,79977.768585,2.601889,3.000000
23,36.643389,112.500000,0.000000,77420.383650,2.601889,3.000000
24,36.643389,115.500000,0.000000,77420.383650,2.601889,3.000000
25,31.439611,118.500000,0.000000,82370.796640,2.601889,3.000000
26,34.041500,118.500000,0.000000,79977.768585,2.601889,3.000000
27,36.643389,118.500000,0.000000,77420.383650,2.601889,3.000000
28,39.245278,111.666667,0.000000,83004.736191,2.601889,3.333333
29,39.245278,115.000000,0.000000,83004.736191,2.601889,3.333333

